vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
2.600000e-01	3.416565e-14	5.548796e-16	3.078654e+01	3.392299e+02	3.827778e+00	8.925714e-15	1.007153e-16	-7.523350e-01	2.000000e-01
2.700000e-01	4.647817e-14	7.549134e-16	3.078377e+01	3.391993e+02	5.248981e+00	8.854703e-15	1.370232e-16	-7.423350e-01	2.000000e-01
2.800000e-01	6.322499e-14	1.027029e-15	3.078054e+01	3.391637e+02	7.195983e+00	8.786150e-15	1.864144e-16	-7.323350e-01	2.000000e-01
2.900000e-01	8.600146e-14	1.397181e-15	3.077677e+01	3.391222e+02	9.862535e+00	8.720016e-15	2.536002e-16	-7.223350e-01	2.000000e-01
3.000000e-01	1.169759e-13	1.900664e-15	3.077238e+01	3.390738e+02	1.351343e+01	8.656271e-15	3.449865e-16	-7.123350e-01	2.000000e-01
3.100000e-01	1.590948e-13	2.585456e-15	3.076726e+01	3.390174e+02	1.851040e+01	8.594890e-15	4.692822e-16	-7.023350e-01	2.000000e-01
3.200000e-01	2.163613e-13	3.516779e-15	3.076129e+01	3.389516e+02	2.534735e+01	8.535858e-15	6.383251e-16	-6.923350e-01	2.000000e-01
3.300000e-01	2.942126e-13	4.783271e-15	3.075434e+01	3.388750e+02	3.469828e+01	8.479170e-15	8.682041e-16	-6.823350e-01	2.000000e-01
3.400000e-01	4.000314e-13	6.505373e-15	3.074623e+01	3.387856e+02	4.748245e+01	8.424825e-15	1.180780e-15	-6.723350e-01	2.000000e-01
3.500000e-01	5.438383e-13	8.846702e-15	3.073678e+01	3.386816e+02	6.495271e+01	8.372835e-15	1.605751e-15	-6.623350e-01	2.000000e-01
3.600000e-01	7.392293e-13	1.202946e-14	3.072578e+01	3.385603e+02	8.881534e+01	8.323216e-15	2.183449e-15	-6.523350e-01	2.000000e-01
3.700000e-01	1.004642e-12	1.635534e-14	3.071296e+01	3.384191e+02	1.213922e+02	8.275997e-15	2.968632e-15	-6.423350e-01	2.000000e-01
3.800000e-01	1.365065e-12	2.223375e-14	3.069804e+01	3.382546e+02	1.658401e+02	8.231212e-15	4.035613e-15	-6.323350e-01	2.000000e-01
3.900000e-01	1.854345e-12	3.022009e-14	3.068067e+01	3.380632e+02	2.264460e+02	8.188907e-15	5.485203e-15	-6.223350e-01	2.000000e-01
4.000000e-01	2.518292e-12	4.106742e-14	3.066046e+01	3.378405e+02	3.090257e+02	8.149135e-15	7.454086e-15	-6.123350e-01	2.000000e-01
4.100000e-01	3.418849e-12	5.579617e-14	3.063695e+01	3.375814e+02	4.214577e+02	8.111962e-15	1.012748e-14	-6.023350e-01	2.000000e-01
4.200000e-01	4.639691e-12	7.578811e-14	3.060962e+01	3.372802e+02	5.743997e+02	8.077461e-15	1.375619e-14	-5.923350e-01	2.000000e-01
4.300000e-01	6.293712e-12	1.029129e-13	3.057786e+01	3.369302e+02	7.822439e+02	8.045716e-15	1.867957e-14	-5.823350e-01	2.000000e-01
4.400000e-01	8.533020e-12	1.396978e-13	3.054099e+01	3.365239e+02	1.064389e+03	8.016824e-15	2.535636e-14	-5.723350e-01	2.000000e-01
4.500000e-01	1.156222e-11	1.895557e-13	3.049820e+01	3.360523e+02	1.446925e+03	7.990890e-15	3.440601e-14	-5.623350e-01	2.000000e-01
4.600000e-01	1.565601e-11	2.570892e-13	3.044860e+01	3.355056e+02	1.964853e+03	7.968032e-15	4.666394e-14	-5.523350e-01	2.000000e-01
