vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
1.340000e+00	3.280972e-04	9.802803e-05	1.673487e+00	4.636122e-01	9.515429e+10	3.448055e-15	7.076975e-04	6.597769e-01	2.000000e-01
1.350000e+00	3.262576e-04	9.966350e-05	1.636796e+00	4.511608e-01	9.448461e+10	3.453024e-15	7.231515e-04	6.697768e-01	2.000000e-01
1.360000e+00	3.243803e-04	1.012897e-04	1.601251e+00	4.392164e-01	9.381053e+10	3.457824e-15	7.385433e-04	6.797766e-01	2.000000e-01
1.370000e+00	3.224661e-04	1.029064e-04	1.566794e+00	4.277472e-01	9.313199e+10	3.462463e-15	7.538707e-04	6.897765e-01	2.000000e-01
1.380000e+00	3.205157e-04	1.045134e-04	1.533372e+00	4.167242e-01	9.244895e+10	3.466948e-15	7.691315e-04	6.997764e-01	2.000000e-01
1.390000e+00	3.185301e-04	1.061106e-04	1.500935e+00	4.061208e-01	9.176141e+10	3.471286e-15	7.843235e-04	7.097762e-01	2.000000e-01
1.400000e+00	3.165101e-04	1.076977e-04	1.469437e+00	3.959124e-01	9.106934e+10	3.475484e-15	7.994447e-04	7.197761e-01	2.000000e-01
1.410000e+00	3.144565e-04	1.092747e-04	1.438835e+00	3.860763e-01	9.037277e+10	3.479549e-15	8.144931e-04	7.297760e-01	2.000000e-01
1.420000e+00	3.123702e-04	1.108413e-04	1.409088e+00	3.765916e-01	8.967173e+10	3.483486e-15	8.294668e-04	7.397758e-01	2.000000e-01
1.430000e+00	3.102521e-04	1.123974e-04	1.380157e+00	3.674389e-01	8.896624e+10	3.487301e-15	8.443638e-04	7.497757e-01	2.000000e-01
